sample,timestamp,value
0,0.000,20.064087
1,0.100,20.383719
2,0.200,20.368315
3,0.300,20.736980
4,0.400,20.840304
5,0.500,21.152249
6,0.600,20.889327
7,0.700,21.307900
8,0.800,20.650163
9,0.900,21.219018
10,1.000,21.301740
11,1.100,21.061733
12,1.200,20.923993
13,1.300,20.979984
14,1.400,21.499707
15,1.500,21.551425
16,1.600,21.457185
17,1.700,22.086952
18,1.800,22.053555
19,1.900,21.583764
20,2.000,21.176754
21,2.100,22.144204
22,2.200,21.932706
23,2.300,21.793386
24,2.400,21.982043
25,2.500,21.633365
26,2.600,22.035363
27,2.700,21.472874
28,2.800,21.254855
29,2.900,21.215287
30,3.000,21.502716
31,3.100,20.801329
32,3.200,20.751509
33,3.300,20.664126
34,3.400,20.943963
35,3.500,20.582337
36,3.600,20.381234
37,3.700,20.252422
38,3.800,20.499256
39,3.900,20.554515
40,4.000,20.118496
41,4.100,20.541901
42,4.200,19.841366
43,4.300,19.380172
44,4.400,19.819232
45,4.500,19.799713
46,4.600,19.714034
47,4.700,19.116345
48,4.800,18.879711
49,4.900,18.576872
50,5.000,18.565954
51,5.100,18.012365
52,5.200,18.244341
53,5.300,18.304050
54,5.400,18.239905
55,5.500,18.238937
56,5.600,18.459746
57,5.700,18.304419
58,5.800,18.492318
59,5.900,18.381911
60,6.000,18.313934
61,6.100,18.444666
62,6.200,18.750419
63,6.300,18.444836
64,6.400,18.813038
65,6.500,18.856901
66,6.600,18.595446
67,6.700,18.569654
68,6.800,18.329629
69,6.900,18.204656
70,7.000,18.415473
71,7.100,18.740287
72,7.200,18.652766
73,7.300,19.105246
74,7.400,19.012948
75,7.500,19.577562
76,7.600,19.166759
77,7.700,19.226930
78,7.800,20.206605
79,7.900,20.197751
80,8.000,20.063432
81,8.100,20.341074
82,8.200,20.537085
83,8.300,20.561975
84,8.400,20.712001
85,8.500,20.522747
86,8.600,20.346801
87,8.700,20.943475
88,8.800,20.557185
89,8.900,21.056618
90,9.000,20.631203
91,9.100,20.795168
92,9.200,21.186768
93,9.300,21.131237
94,9.400,21.376927
95,9.500,21.627980
96,9.600,21.556156
97,9.700,21.877902
98,9.800,21.858975
99,9.900,22.190640
100,10.000,21.903255
101,10.100,21.942216
102,10.200,21.932348
103,10.300,21.635807
104,10.400,21.664605
105,10.500,21.581710
106,10.600,21.185047
107,10.700,21.956788
108,10.800,20.968691
109,10.900,20.835717
110,11.000,21.154518
111,11.100,20.943366
112,11.200,20.609922
113,11.300,20.466800
114,11.400,20.692529
115,11.500,20.979347
116,11.600,20.944075
117,11.700,20.530225
118,11.800,20.491520
119,11.900,20.426051
120,12.000,20.098061
121,12.100,20.020926
122,12.200,20.039010
123,12.300,21.315009
124,12.400,19.723218
125,12.500,18.930637
126,12.600,19.317606
127,12.700,18.771895
128,12.800,18.934935
129,12.900,18.667758
130,13.000,18.683793
131,13.100,18.254520
132,13.200,18.124687
133,13.300,18.528204
134,13.400,18.741143
135,13.500,18.632048
136,13.600,20.842213
137,13.700,18.413666
138,13.800,15.488730
139,13.900,18.757755
140,14.000,18.441426
141,14.100,18.347406
142,14.200,18.291080
143,14.300,18.196837
144,14.400,18.118006
145,14.500,18.344627
146,14.600,18.510992
147,14.700,18.621724
148,14.800,18.450781
149,14.900,18.443995
150,15.000,18.721433
151,15.100,19.361344
152,15.200,18.878567
153,15.300,19.435407
154,15.400,19.411349
155,15.500,19.293501
156,15.600,19.772644
157,15.700,19.676037
158,15.800,19.889303
159,15.900,19.829090
160,16.000,19.897923
161,16.100,20.150440
162,16.200,20.591823
163,16.300,19.773480
164,16.400,20.547822
165,16.500,20.482962
166,16.600,20.825535
167,16.700,20.615789
168,16.800,20.830166
169,16.900,20.772905
170,17.000,20.828969
171,17.100,21.532721
172,17.200,21.016999
173,17.300,22.104916
174,17.400,21.702891
175,17.500,21.434904
176,17.600,21.675692
177,17.700,21.676125
178,17.800,22.259843
179,17.900,21.762148
180,18.000,21.489966
181,18.100,21.525119
182,18.200,21.753839
183,18.300,21.331298
184,18.400,21.619544
185,18.500,21.077987
186,18.600,20.957333
187,18.700,20.992748
188,18.800,21.258137
189,18.900,20.994384
190,19.000,20.998119
191,19.100,21.228007
192,19.200,21.229598
193,19.300,20.812651
194,19.400,21.276956
195,19.500,20.914169
196,19.600,21.018140
197,19.700,20.617197
198,19.800,20.293616
199,19.900,20.145372
200,20.000,19.842623
201,20.100,20.023420
202,20.200,19.235286
203,20.300,19.426511
204,20.400,19.040004
205,20.500,19.473670
206,20.600,18.538503
207,20.700,18.916402
208,20.800,19.368972
209,20.900,19.212371
210,21.000,18.620261
211,21.100,19.061750
212,21.200,19.425136
213,21.300,18.742760
214,21.400,18.889920
215,21.500,18.522354
216,21.600,18.166409
217,21.700,18.453041
218,21.800,18.453565
219,21.900,18.284022
220,22.000,18.448003
221,22.100,18.168576
222,22.200,18.139519
223,22.300,17.723411
224,22.400,18.301429
225,22.500,18.005356
226,22.600,18.372335
227,22.700,18.617536
228,22.800,18.541791
229,22.900,18.655465
230,23.000,19.054987
231,23.100,18.874664
232,23.200,19.297191
233,23.300,19.033002
234,23.400,19.537406
235,23.500,19.554110
236,23.600,19.351632
237,23.700,19.360580
238,23.800,19.500792
239,23.900,19.741829
